Time,LT,Pump_1 [L/m],Pump_2 [L/m],Voltage [V],Current [A],Input_current [A],E_h2_production [mL/0.1s],Power,Pref
05:25.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:25.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:26.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:26.1,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.5,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.7,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:26.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:26.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.1,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.2,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:27.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.4,0,0,1.7,11.59,26.4,25.5,0.86,305.976,295.545
05:27.5,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:27.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:28.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:28.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:28.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:28.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:28.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.2,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:29.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:29.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:29.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:30.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:30.1,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.5,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:30.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:30.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.1,0,0,1.7,11.59,26.4,25.5,0.86,305.976,295.545
05:31.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.5,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:31.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.7,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:31.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:31.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:32.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:32.1,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:32.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:32.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:32.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:33.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:33.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:33.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:33.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:33.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:34.0,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:34.1,0,0,1.7,11.57,26.1,25.3,0.85,301.977,292.721
05:34.2,0,0,1.7,11.58,26,25.3,0.85,301.08,292.974
05:34.3,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:34.4,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:34.5,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:34.6,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:34.7,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:34.8,0,0,1.7,11.55,26,25.3,0.85,300.3,292.215
05:34.9,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.0,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.1,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.2,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.3,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.4,0,0,1.7,11.57,26.1,25.3,0.85,301.977,292.721
05:35.5,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.6,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.7,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.8,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:35.9,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:36.0,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:36.1,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:36.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:36.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:36.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:36.5,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:36.6,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:36.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:36.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:36.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:37.9,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:38.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:38.1,0,0,1.7,11.59,26.2,25.6,0.86,303.658,296.704
05:38.2,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:38.3,0,0,1.7,11.59,26.2,25.6,0.86,303.658,296.704
05:38.4,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:38.5,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:38.6,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:38.7,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:38.8,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:38.9,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.0,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.1,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.2,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:39.3,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:39.4,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.5,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
05:39.6,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.7,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.8,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:39.9,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:40.0,0,0,1.7,11.62,26.2,25.6,0.86,304.444,297.472
05:40.1,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:40.2,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:40.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:40.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:40.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:40.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:40.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:40.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:40.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:41.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:41.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:41.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:41.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:42.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:42.1,0,0,1.7,11.58,26.1,25.5,0.85,302.238,295.29
05:42.2,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:42.3,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:42.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:42.5,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:42.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:42.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:42.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:42.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:43.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:43.1,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:43.2,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:43.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:43.4,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:43.5,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:43.6,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:43.7,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:43.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:43.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:44.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:44.1,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:44.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:44.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:44.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:44.5,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:44.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:44.7,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:44.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:44.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:45.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:45.1,0,0,1.7,11.57,26.2,25.4,0.86,303.134,293.878
05:45.2,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:45.3,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:45.4,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:45.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:45.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:45.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:45.8,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:45.9,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:46.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:46.1,0,0,1.7,11.58,26.1,25.1,0.85,302.238,290.658
05:46.2,0,0,1.7,11.57,26,25.1,0.85,300.82,290.407
05:46.3,0,0,1.7,11.55,26,25.1,0.85,300.3,289.905
05:46.4,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:46.5,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:46.6,0,0,1.7,11.55,26,25.1,0.85,300.3,289.905
05:46.7,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:46.8,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:46.9,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.0,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.1,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.2,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.3,0,0,1.7,11.55,26,25.1,0.85,300.3,289.905
05:47.4,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.5,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.6,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.7,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.8,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:47.9,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:48.0,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:48.1,0,0,1.7,11.55,26,25.4,0.85,300.3,293.37
05:48.2,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.3,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.5,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.7,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:48.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:48.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:49.0,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:49.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:49.2,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:49.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:49.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:49.5,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:49.6,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:49.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:49.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:49.9,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:50.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:50.1,0,0,1.7,11.58,26.1,25.1,0.85,302.238,290.658
05:50.2,0,0,1.7,11.55,26,25.1,0.85,300.3,289.905
05:50.3,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:50.4,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:50.5,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:50.6,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:50.7,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:50.8,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:50.9,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:51.0,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:51.1,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:51.2,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:51.3,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:51.4,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:51.5,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:51.6,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:51.7,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:51.8,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:51.9,0,0,1.7,11.55,25.9,25.1,0.85,299.145,289.905
05:52.0,0,0,1.7,11.53,25.9,25.1,0.85,298.627,289.403
05:52.1,0,0,1.7,11.55,26,25.4,0.85,300.3,293.37
05:52.2,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:52.3,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:52.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:52.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:52.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:52.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:52.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:52.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.1,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:53.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:53.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:53.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:54.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:54.1,0,0,1.7,11.58,26.1,25.5,0.85,302.238,295.29
05:54.2,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.3,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.4,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.5,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:54.7,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.8,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:54.9,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.0,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.1,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:55.3,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:55.5,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.6,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:55.8,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
05:55.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:56.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:56.1,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:56.2,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:56.3,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:56.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:56.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:56.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:56.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:56.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:56.9,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:57.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:57.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:57.2,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:57.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:57.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:57.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:57.6,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:57.7,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:57.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:57.9,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:58.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:58.1,0,0,1.7,11.58,26.2,25.7,0.86,303.396,297.606
05:58.2,0,0,1.7,11.59,26.4,25.7,0.86,305.976,297.863
05:58.3,0,0,1.7,11.59,26.4,25.7,0.86,305.976,297.863
05:58.4,0,0,1.7,11.59,26.5,25.7,0.86,307.135,297.863
05:58.5,0,0,1.7,11.59,26.5,25.7,0.86,307.135,297.863
05:58.6,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:58.7,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:58.8,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:58.9,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.0,0,0,1.7,11.62,26.4,25.7,0.86,306.768,298.634
05:59.1,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.2,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.3,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.4,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.5,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.6,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.7,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.8,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
05:59.9,0,0,1.7,11.62,26.5,25.7,0.86,307.93,298.634
06:00.0,0,0,1.7,11.59,26.5,25.7,0.86,307.135,297.863
06:00.1,0,0,1.7,11.62,26.5,25.4,0.86,307.93,295.148
06:00.2,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
06:00.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:00.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:00.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:00.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:00.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:00.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
06:00.9,0,0,1.7,11.57,26.2,25.4,0.86,303.134,293.878
06:01.0,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
06:01.1,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
06:01.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:01.3,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
06:01.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
06:01.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:01.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:01.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:01.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:01.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
06:02.0,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
06:02.1,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
06:02.2,0,0,1.7,11.58,26.2,25.5,0.86,303.396,295.29
06:02.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
06:02.4,0,0,1.7,11.58,26.4,25.5,0.86,305.712,295.29
